Baxazole-D    (Baxter )
Cofsed    (Eros)
Cofsonil    (Dosaco)
Cofsyl    (Polyfine)
Cofta Expectorant    (British)
Cogyne    (Healer)
Coheim    (Pakheim)
Colbex    (Pearl)
Colchicine    (Lcpw)
Cold Free    (Euro)
Cold-Eeze    (Fynk)
Coldene    (Wilsons)
Coldrex    (Standpharm)
Coldrex-E    (Standpharm)
Coldrid    (Nenza)
Coldthro    (Pearl)
Colen    (Alliance)
Colenticon    (Pacific)
Colestocare    (Searle)
Colezaf    (Zafa)
Coliacron    (Holsten)
Coliban    (Helicon)
Colibid    (Rg)
Colic    (Zanctok)
Colifagina L3    (Meezab Int.)
Coliject    (Geofman)
Colinot    (Mass)
Colistrol    (Zanctok)
Colitran    (Pdh)
Collagidol    (Wise)
Collergy    (Woodward)
Colocard    (Biogenics)
Colofac    (Abbott)
Colonil    (Genome)
Colonil Mr    (Genome)
Coloprid       (Trison)
Colorest    (Wilsons)
Colorin    (Akson)
Colosartin    (Tagma)
Colospa    (Platinum)
Colospas    (Nabiqasim)
Colospas Fibro    (Nabiqasim)
Colospas Mr    (Nabiqasim)
Colostin    (Zafa)
Colpen    (Sharex)
Colril    (Searle)
Colrizol    (Warafana)
Colstat    (Rasco)
Coltab    (Ferroza)
Colway    (Lexicon)
Colzine    (Paramount)
Comate    (Schazoo)
Comatic    (Neutro)
Comax    (Marvi)
Combantrin    (Pfizer)
Combicap    (Don Valley)
Combicin    (Mission)
Combident Paste    (Zanctok)
Combigan    (Barrett)
Combinol Dm Cough    (Atco)
Combinol Junior    (Atco)
Combinol-D    (Atco)
Combinol-E    (Atco)
Combiplex    (Lcpw)
Combiplex Forte    (Lcpw)
Combitrol    (Ferozson)
Combivair    (Highnoon)
Comcarb    (Maple)
Comet    (Reko)
Comfam    (Pulse)
Comfer-F    (Nexpharm)
Comforta    (Maq)
Comfy    (Standpharm)
Comibal    (Goodman L)
Comine    (Miracle)
Comogil    (Jaens)
Compan    (Z-Jans)
Comrad    (W & Ali)
Comycetin    (Nabiqasim)
Cona    (Adamjee)
Conaderm-N    (Harmann)
Conaz    (Atco)
Conbac    (Convell)
Concep    (Himont)
Concid    (Reko)
Concidol    (Convell)
Concimox    (Convell)
Concor    (Merck)
Conext    (Neutro)
Congnex    (Pfizer)
Conil    (Bloom)
Coniuren    (Gray'S)
Conkast    (S.J.& G)
Conquin    (Convell)
Conrat    (Figs)
Consal    (Goodman L)
Conserve    (Highnoon)
Consilac    (Rasco)
Conspic    (Sami)
Constigo    (Max)
Constilac    (Medisearch)
Constimed    (Rakaposhi)
Constinil    (Global Brands)
Constino    (Genome)
Consupren    (Universal)
Contac-650   Spansula    (Gsk)
Contazol    (Convell)
Contimycin    (Continental)
Contine    (Lexicon)
Contophylin    (Rex)
Contour    (S.J.& G)
Contracid    (Medera)
Contractubex    (Brookes)
Contrathion    (Acti-Med)
Contrin    (Convell)
Controbeat    (Pfizer)
Controloc    (Agp)
Conus    (Epoch)
Convul    (Siza)
Coolant-S    (Nenza)
Coozip    (Nexus)
Cope    (Dr.Raza)
Corace    (Bosch)
Corace Plus    (Bosch)
Coram    (Brookes)
Coramin-G    (Unipharma)
Corbic    (Krka-Pak)
Corbic-C    (Ocean)
Corbis    (Efroze)
Corbis-H    (Efroze)
Corcont    (Swiss Pharma)
Cordarone    (Aventis)
Cordfed    (Fedro)
Cordium    (Pharmix)
Cored    (Zinta)
Corex-D    (Pfizer)
Corgard    (Gsk)
Corik    (Raazee)
Corik-H    (Raazee)
Corinate    (Asian)
Corinor    (Pdh)
Corlet    (Bryon)
Cornit    (Valor)
Corodox    (Pearl)
Coromp    (Zephyr)
Correct    (Fynk)
Corsafe    (Bryon)
Corsafe-At    (Bryon)
Corsica    (Ankaz)
Cortec    (Nabiqasim)
Cortec Plus    (Nabiqasim)
Corticozole    (Everest)
Cortiderm    (Valor)
Cortiderm-Nn    (Epla)
Cortisil    (Syntex)
Cortisol    (Bio Pharma)
Cortisporin    (Gsk)
Cortival    (Valor)
Corven    (Ccl)
Corvin    (Woodward)
Coryton    (Brookes)
Cosacort    (Sulk)
Cosaderm    (Sulk)
Cosartan    (Everest)
Cosine    (Genome)
Cosmin    (Saffron)
Cosmocal-D       (Caraway)
Cosmofer    (Mission)
Cosmoquin    (Pacific)
Cosmox    (Harmann)
Cosmun    (Festel)
Cosmun Plus    (Festel)
Cosome    (Merck)
Cosome E    (Merck)
Cosopt    (Obs)
Cosset    (Rakaposhi)
Costa    (Macter)
Costa-Pro    (Macter)
Cosvate    (Seatle)
Cotecxin    (Amson)
Cotray    (Ardin)
Cotri    (Unexo)
Cotri-Dd    (Unexo)
Cotrigen    (Genera)
Cotrim    (Tabros)
Cotrimaxal    (Alson)
Cotrimoxazole    (Dosaco)
Cotrimoxazole    (Batala)
Cotrimoxazole    (Shifa)
Cotrimoxazole    (Nawabsons Labs)
Cotrimoxazole    (Unipharma)
Cotrimoxazole Plain    (Dosaco)
Cotriza    (Siza)
Cotriza Forte    (Siza)
Cotrizole    (Epla)
Cougar    (Scotmann)
Cough Care    (Care Pharma)
Cough-Dm    (Weather)
Cough-Flu    (Unipharma)
Coughlin    (Ipp)
Coughmed    (Universal)
Coughmed Dm    (Universal)
Coughnol    (English)
Coughsodex    (Helicon)
Coughsol    (Venture)
Coughtin Expectorant    (E Pharm)
Covatine    (Martin)
Coversam    (Servier)
Coversyl    (Servier)
Coversyl Plus    (Servier)
Covrem    (Pulse)
Cox-2    (Global)
Coxalol    (Searle)
Coxban    (Rakaposhi)
Coxeez    (Standpharm)
Coxgen    (Genome)
Coxibit    (Danas)
Coxicam    (Shaheen Pharma)
Coxlan    (Kci)
Coxobid    (Paramount)
Coxyzin    (Global)
Coyzo    (Honig)
Cozaar    (Obs)
Cozil    (Shrooq)
Coziscar    (Tabros)
Cozol    (Alkemy)
Cozole    (Rakaposhi)
Cp-4    (Leads)
Cpride    (Caraway)
Cpt Ii    (Medinet)
Cpzaf    (Zafa)
Cr-10    (Saydon)
Crafate    (Mbl)
Crafilm    (Pacific)
Crafilm Chewable    (Pacific)
Cramid    (Zinta)
Cravit    (Hilton)
Creamazole    (Valor)
Creamazole-H    (Valor)
Creditnotes    (Ipram)
Cremaffin    (Abbott)
Cremalax    (Medisearch)
Cremazole-S    (Valor)
Cresar    (Tabros)
Cresar H    (Tabros)
Crescip    (Crest)
Creslevo    (Crest)
Cress-F    (Zephyr)
Crest    (S.J.& G)
Crestat    (Ccl)
Creszole    (Crest)
Crexime    (Crest)
Crib    (Everest)
Cripton    (Evron)
Cristin    (Goodman L)
Cristol    (Helix)
Crizol    (Candid)
Crobamin    (Zinta)
Crocef    (Crown)
Crocus    (Zephyr)
Crofam    (Crown)
Croftine    (Crown)
Crolanz    (Crown)
Crole    (Crown)
Crolimus      (Valor)
Crometin-A    (Agp)
Cromil    (Kobec)
Cromin    (Panacea)
Cromog    (Innvotek)
Cromog-T    (Innvotek)
Cromosol    (Polyfine)
Cromozil    (Sante)
Cromulux    (Nimrall)
Croneb    (Aneeb )
Crotamiton    (Wilsons)
Crotamiton    (Hizat)
Crotan    (Zafa)
Crozyl    (Agp)
Crsci    (Caraway)
Crucir    (Swiss Pharma)
Crudin    (Nawan Labs)
Cso    (Avital Pharma)
Ct-Colin    (Medicraft)
Ctm    (Batala)
Ctz    (Mega Pharma)
Ctzine    (Medicraft)
Cu-Zn Creme T    (Pharma Health)
Cu-Zn Gel Nettoyant    (Pharma Health)
Cubac    (Zaka)
Cufgo Dm    (Highnoon)
Cuore    (Webrose)
Cupid    (Beste)
Cura    (Saia)
Curabid    (Aries)
Curacap    (Novamed)
Curacap-T    (Lcpw)
Curacil    (Shafaz)
Curall-A    (Schazoo)
Curalov    (Curatech)
Curatidine    (Tg)
Curatif    (Ambrosia)
Curazine    (Epoch)
Curazon    (Aries)
Cure-B    (Global)
Curecip    (Hygeia)
Curidol Extra    (Shaheen)
Curidox    (Envoy)
Curidoxime    (Pulse)
Curil    (Derma Tech)
Curim    (Global)
Curine    (Schazoo)
Curit    (Sharex)
Curitol    (Standpharm)
Curo    (Wilshire)
Curocef    (Weather)
Curoderm    (Epla)
Curoderm-H    (Epla)
Curofam    (Mega Pharma)
Curosurf    (Chiesi)
Cuta Ne    (Varioline)
Cuta-Wet    (Derma Tech)
Cutapam    (Al-Habib)
Cutcare    (Searle)
Cutchol    (Hygeia)
Cutcol    (Biogenics)
Cutexia    (Wnsfeild)
Cutexim    (Wnsfeild)
Cutiderm    (Biogen)
Cutinate    (Valor)
Cutis    (Tabros)
Cutis-Hc    (Derma Tech)
Cutivate    (Gsk)
Cv- 150    (Wilsons)
Cv-75    (Wilsons)
Cvd-1000    (Maq)
Cyanamin    (Lawrence)
Cyanocob    (Neutro)
Cyanocobal    (Rex)
Cyanocobalamin    (Orient)
Cyanocobalamine    (Venus)
Cyanocobalamine    (Shifa)
Cyanoplex Solution 1    (Geofman)
Cyanoplex Solution 2    (Geofman)
Cyanorin Forte    (Popular)
Cycin    (High-Q)
Cyclidine    (Pharmedic)
Cyclobex    (Roryan Pharma)
Cyclocam Plus    (Crest)
Cyclocort    (Pfizer)
Cyclodex    (Platinum)
Cyclodor    (Shaheen)
Cyclofen    (Danas)
Cyclofenac    (Macquins)
Cyclogest    (Excel Healthcare)
Cyclogyl    (Novartis)
Cyclomide    (Pharmedic)
Cyclonas    (Danas)
Cyclopen    (Ethical)
Cyclophophamide    (S.Ejazuddin)
Cycloplatin    (Umair)
Cyclor    (Candid)
Cycloram    (Bryon)
Cyclosen    (Zaka)
Cyclotrin    (Medisure)
Cyclovir    (Mediate)
Cycloxin    (Medicure)
Cycloz    (Highnoon)
Cycolunct-N    (Global)
Cyconil    (Global)
Cycopin    (Biocare)
Cydex    (Alfalah Pharma)
Cyflox    (Goodman)
Cyftree    (Hicon)
Cyine    (Wisdom)
Cylor    (Valor)
Cymbalta    (Lilly)
Cymevene    (Roche)
Cynfo    (Sami)
Cynic    (Ankaz)
Cynocip    (Delta)
Cynodox-C Forte    (Epla)
Cynodox-C Lysine    (Epla)
Cynodox-Sf    (Epla)
Cynoplex    (Sharex)
Cynotax    (Unison)
Cynotone    (Harmann)
Cynoxin    (Shazal)
Cyotec    (Biogen)
Cyox    (Raazee)
Cyprex    (Pearl)
Cyprodin    (Siza)
Cyrex    (Rex)
Cyrex-P    (Rex)
Cyrocin    (Highnoon)
Cystalgon    (Pacific)
Cystrin    (A.J)
Cytacon    (Gsk)
Cytamen    (Gsk)
Cytamen Compound    (Gsk)
Cytamic    (Mass)
Cytarabin    (Atco)
Cytarabine    (Highnoon)
Cytarine    (Atco)
Cyten    (Bloom)
Cytexin    (Gsk)
Cytocarb    (A.J.Mirza)
Cytocin    (Pharmedic)
Cytopan    (Getz)
Cytoplatin    (A.J.Mirza)
Cytosar    (Pfizer)
Cytotec    (Searle)
Cytotecan    (Ccl)
Cytotol    (Saffron)
Cytotrexate    (Lcpw)
Cytozole    (Ocean)
D Cort    (Brookes)
D Done    (Flow)
D Mycin    (Don Valley)
D Sone    (Mediate)
D-18    (Pharmako)
D-Blastin    (Pharmedic)
D-Burn    (Nexus)
D-Cap    (English)
D-Clin    (Caylex)
D-Engrax    (English)
D-Fenac Plus    (Mediate)
D-Formin Mr    (Getz)
D-Fron    (Drug)
D-Histine    (Flow)
D-Hydri    (Sayyad)
D-Kortes    (Zephyr)
D-Lor    (Everest)
D-Loraata    (Weather)
D-Max    (Elko)
D-Rubicin    (Pharmedic)
D-Sodium    (Weather)
D-Tone    (Standpharm)
D-Tres    (Sami)
D-Vert    (Remington)
D-Zak    (Zaka)
D-Zime    (Drug)
D.Dron    (E Pharm)
D.Srodrox    (Roryan Pharma)
D.Sur-Cef    (Roryan Pharma)
D.T.Coq    (Sms)
D.T.Vax    (Sms)
D.Well    (Wellborne)
D4U    (Genix)
Dabenzole    (Atco)
Dabwin    (Jinnah)
Dac    (Medinet)
Dacarbazin    (Umair)
Dactinofin    (Pharmedic)
Dactinomycin    (Al-Habib)
Dadrin    (Specific)
Daflon    (Servier)
Dafnegin    (Scharper)
Dagnum Cough    (Zephyr)
Daisy    (Mega Pharma)
Daisy 1000    (Shaigan)
Daisy 250    (Shaigan)
Daisy 500    (Shaigan)
Daivobet    (Zam)
Daivonex    (Zam)
Daktacort    (Janssen-Cilag)
Daktarin    (Janssen-Cilag)
Dalacin-C    (Pfizer)
Dalacin-T    (Pfizer)
Dalacin-V    (Pfizer)
Dalitin    (F.Y)
Dalium    (Pliva)
Dalix    (Foray)
Daltasalone    (Trigon)
Daltran    (Umersons)
Damopres    (Zafa)
Damsy    (Remington)
Damsy-P    (Remington)
Danabol Depot    (Danas)
Danacort    (Danas)
Danaderm    (Danas)
Danadex    (Danas)
Danafex    (Danas)
Danatris    (Sycom)
Dancilin    (Zanctok)
Dancin    (Danas)
Dandizole-Plus    (Wilsons)
Danfree    (Danas)
Danilon    (Sami)
Danim    (Danas)
Danitin    (Miracle)
Danitn    (Miracle)
Danizol    (Don Valley)
Danke    (Dyson R L)
Danke Fort Suspension    (British)
Danke Plus    (Dyson R L)
Danocrine    (Searle)
Danopram    (Danas)
Danotech    (Danas)
Danovate-N    (Danas)
Danoxone    (Xenon)
Danpro    (Danas)
Dansaid    (Danas)
Danseten    (Danas)
Dansone    (Danas)
Danstatin-Nn    (Danas)
Danstin    (Danas)
Dantone    (Danas)
Danum    (Irza)
Danvar    (Shrooq)
Danverin    (Global)
Danvid    (Danas)
Danvin    (Danas)
Danwrd    (Welwrd)
Danxime    (Danas)
Danzen    (Helix)
Danzol    (Platinum)
Daonil    (Aventis)
Dap    (Nexus)
Dapac    (Fynk)
Dapakan    (Platinum)
Daplen    (Biogen)
Daplin    (Caraway)
Daplin    (Wisdom)
Dapsin    (Biogen)
Daragon    (Mendoza)
Darbazine    (Pharmedic)
Dard Aram    (Lisko)
Dardnil    (Delta)
Dardum    (Searle)
Darphin    (Jawa)
Darrow'S Solution    (Lcpw)
Darrows Soln.    (Medipak)
Darrows Solution    (Otsuka)
Darrows Solution    (Elko)
Dart    (Medicaids)
Darvin    (Pharmedic)
Darwocet    (Wilshire)
Dasirox    (Ccl)
Dastak    (Shrooq)
Dasura    (Mediate)
Daunoblastina Rd    (Pfizer)
Daunocin    (Al-Habib)
Daunotec    (A.J.Mirza)
Davanic    (Danas)
Davedix    (Neo)
Davenol    (Pfizer)
Davicobal    (Davis)
Davilac    (Davis)
Daviplex    (Davis)
Davipon    (Davis)
Daviquin    (Davis)
Davirox    (Davis)
Davisalts    (Davis)
Davisone    (Davis)
Davistin    (Davis)
Davitran    (Davis)
Davizin    (Davis)
Davizol-V    (Davis)
Davox    (Fynk)
Dawn    (Mega Pharma)
Dawnotil    (Xenon)
Daxotel    (Atco)
Day Fort    (High-Q)
Day Pime    (High-Q)
Day Soft    (Shrooq)
Dayalets    (Abbott)
Daycef    (Shrooq)
Daycor    (Abbott)
Dayline    (High-Q)
Daylong    (Trigon)
Daymac    (Dermagen)
Daypro    (Macter)
Daytaxime    (High-Q)
Dayzone    (High-Q)
Daz    (Ocean)
Dazemep    (Lowitt)
Dazolam    (Medicraft)
Db-Zide    (Epoch)
Dc-Cap    (Dr.Raza)
Dc-Na    (Crown)
Dcold    (Mbl)
Ddrop    (Ipram)
Dds Lincomycin    (Global)
De-Andro    (Lahore Pharma)
De-Calc    (Schazoo)
De-Calc Junior    (Drug)
De-Calc Plus    (Schazoo)
De-Nile    (Pharma Health)
De-Nile Plus    (Pharma Health)
De-Sone    (Derma Tech)
Deacid    (Delta)
Deact    (Standpharm)
Deanxit    (Lundbeck)
Deasma    (Rakaposhi)
Debax    (Spirax)
Debect    (Ferroza)
Deborn    (Wellborne)
Deborn-L    (Wellborne)
Debridat    (Zafa)
Debritone    (Xenon)
Deca-Durabolin    (Obs)
Decabolin    (Pharmatec)
Decachlor    (Orient)
Decadron    (Obs)
Decapeptyl    (Atco)
Declam    (Searle)
Declocine    (Novamed)
Declot    (Efroze)
Decolax    (Medisure)
Decon-A    (Remington)
Deconazol    (Envoy)
Decorex    (Obsons)
Dectamol    (Delux)
Dectil    (Rakaposhi)
Dectron    (Delux)
Dee-Benzyl    (Delux)
Deebar    (Mediceena)
Deechloride    (Delux)
Deecosim    (Delux)
Deefol    (Delux)
Deemac    (Delux)
Deemac Forte    (Delux)
Deemine    (Delux)
Deenopan    (Delux)
Deeoxin    (Delux)
Deepol    (Delux)
Deeprex    (Healer)
Deepro    (Delux)
Deerin    (Delux)
Deezone    (Shaigan)
Defalex    (Danas)
Defina    (Mediaims)
Deflam    (Ccl)
Deflocort    (Pacific)
Defloquin    (Everest)
Defnac    (Searle)
Defumide    (Mass)
Degast    (Hygeia)
Degoal    (Genome)
Degouric    (Atco)
Degust    (Hygeia)
Dejafen-S    (Zinta)
Dejafin    (Zinta)
Deka-Duralin    (Hansel)
Dekat    (Ipram)
Deker    (Lloyds)
Deketofin    (Shaigan)
Dekof    (Popular)
Dekomycin    (Reko)
Dekuf    (Rakaposhi)
Delaware    (Efroze)
Delax    (Merck)
Delcef    (Delta)
Delcobex    (Delta)
Deldoxin    (Pfizer)
Delergia    (Pharmevo)
Delergic    (Biogenics)
Delex    (Merck)
Delexin    (Mega Pharma)
Delfamo-Z    (Delta)
Delfenac    (Delta)
Delflox    (Delta)
Delfol    (Delta)
Delfol Plus    (Delta)
Delgenta    (Pfizer)
Delide    (Dermagen)
Delip    (Standpharm)
Delmic    (Delta)
Delmic Forte    (Delta)
Delmin    (Delta)
Delmol    (Delta)
Delmol Extra    (Delta)
Delmol Forte    (Delta)
Delmol-Cf    (Delta)
Delmon    (Delta)
Delmox    (Delta)
Deloquin    (Delux)
Delores    (Fassgen)
Delosol    (Delux)
Deloxt  Dr    (Prays)
Delpirox    (Rehman)
Delprox    (Delta)
Delproz    (Delta)
Delrox    (Delta)
Delser    (Delux)
Delsixime    (Delta)
Delsym    (Global)
Delta-D3    (Wnsfeild)
Deltacartil Enteric Coated    (Pfizer)
Deltacin    (Delta)
Deltacortril    (Pfizer)
Deltadin    (Delta)
Deltafast    (Schazoo)
Deltafen    (Delta)
Deltaflam    (Webrose)
Deltarhinol    (Pacific)
Deltasalone    (Trigon)
Deltasol    (Progressive Lab)
Deltasone-P    (Venus)
Deltazem    (Delta)
Delux-Zinc    (Delux)
Delvid    (Delta)
Delvitis    (Delta)
Delvocin    (Pharma Health)
Delvopil    (Mass)
Delzole    (Delta)
Delzole Plus    (Delta)
Delzone    (Delta)
Demantin    (Cellgene)
Demast    (Pakheim)
Demax    (Delux)
Dementin    (Cellgene)
Dementio    (Reko)
Dementio Er    (Reko)
Demisul    (Biolabs)
Demonem    (Rotex)
Demoxin    (Semos)
Demprazole    (Mediate)
Demsun    (Lexicon)
Demtrat    (Bosch)
Denatacin    (Jaens)
Denitol    (Rehmat)
Denla Xr    (Semos)
Denol-Dm    (Novamed)
Denoral    (Aventis)
Dens    (Farm)
Denser    (Valor)
Dentalguard    (Salza)
Dentifen    (Macter)
Dentisept    (Hiranis)
Denum    (Irza)
Denum-K    (Irza)
Deocalm    (Siza)
Deonate    (Cirin)
Deotrix    (Delux)
Dep Nil    (Z-Jans)
Dep-Ez    (Swiss Pharma)
Dep-F    (Vega)
Depagor    (Unimark)
Depcure    (Medicraft)
Dependal-M    (Gsk)
Deperin       (Focus & Rulz)
Depex    (Merck)
Depfree    (Glitz)
Depgo    (Shaheen Pharma)
Dephlog    (Standpharm)
Depilus    (Atco)
Depin    (Selmore)
Depinor    (Aries)
Deplat    (Nabiqasim)
Deplat-Ap    (Nabiqasim)
Deplo    (Hi-Warble)
Deplow    (Alina)
Deplug    (Atco)
Deplw    (Hi-Warble)
Depna    (Saydon)
Depo Androgen    (Global)
Depo Medrol    (Pfizer)
Depo Provera Saheli    (Pfizer)
Depogen    (Silver)
Deponit    (Atco)
Deporex    (Medera)
Deposid    (Csh)
Depralin    (Selmore)
Depram    (Epla)
Depramine    (Hansel)
Depranil    (Bloom)
Deprapram    (Atco)
Deprefed    (Fedro)
Deprel    (Adamjee)
Depret    (Shazal)
Depretine    (Hygeia)
Depricap    (Nabiqasim)
Deprifex    (Hansel)
Deprinil    (Hansel)
Deprion Sr    (Amarant)
Deprogesic    (Popular)
Deprosulp    (Gray'S)
Deprox    (Epla)
Depset    (Z-Jans)
Depsit    (Genix)
Deptin    (Alson)
Dequit    (Shaheen)
Dequsan    (Sante)
Deram    (Shazal)
Derma Care    (Derma Tech)
Derma Clin    (Derma Tech)
Derma Clin Forte    (Derma Tech)
Derma Save    (Derma Tech)
Derma-    (Valor)
Dermaan    (Wilshire)
Dermacide    (Pharma Health)
Dermacide-Af    (Pharma Health)
Dermacil    (Agp)
Dermafuse    (Everest)
Dermafuse-H    (Everest)
Dermalar    (Biogen)
Dermalar-N    (Biogen)
Dermasul    (Lahore Pharma)
Dermazin    (Novartis)
Dermicon    (Friends)
Dermicon Hc    (Friends)
Derminone    (Biogen)
Dermistat    (Varioline)
Dermistate-Hc    (Varioline)
Dermodic    (Swiss Pharma)
Dermodic-B    (Swiss Pharma)
Dermoflam    (Mediceena)
Dermogent    (Mbl)
Dermolin    (Mbl)
Dermolite    (Elite)
Dermolone    (Vega)
Dermopaque    (Wilsons)
Dermoquin    (Wilsons)
Dermosalic    (Mbl)
Dermosof Acne    (Pharmako)
Dermosof Anti-Aging    (Pharmako)
Dermosone    (Wilsons)
Dermosporin    (Nabiqasim)
Dermosporin-B    (Nabiqasim)
Dermotone    (Tread)
Dermotrim    (Geofman)
Dermoval    (Shrooq)
Dermovate    (Gsk)
Dermovate-Nn    (Gsk)
Dermovin    (Mbl)
Dermozole    (Vega)
Dermy    (Woodward)
Derocon    (Raazee)
Derot    (Healthtek)
Derox    (Davis)
Deroxat Cr    (Global)
Dervit    (Nabiqasim)
Dervit-B    (Nabiqasim)
Desbon    (Evron)
Descab    (Pharma Health)
Descol    (Nabiqasim)
Descover    (Kinsa)
Desenz    (Webrose)
Deserve    (Semos)
Desetal    (Star)
Desferal    (Novartis)
Desgen    (Envoy)
Desgood    (Goodman L)
Desite    (Shaheen Pharma)
Deslet    (Efroze)
Deslo    (Neutro)
Deslor    (Everest)
Desloradvan      (Advanced)
Deslorat    (Shazal)
Desloreal    (Wnsfeild)
Deslort    (Panacea)
Desmak    (Makson)
Desofam    (Zafa)
Desolar    (Bryon)
Desoline    (Candid)
Desomin    (Opal)
Desora    (S.J.& G)
Despas    (S.J.& G)
Desrhin    (Atco)
Destazine    (Sante)
Destidine    (Wellborne)
Destina    (Hilton)
Destra    (Zephyr)
Destrex    (Wnsfeild)
Desugar    (Lisko)
Desvel Xr    (Hilton)
Detacam    (Candid)
Detaflam    (Webrose)
Detamol    (Webrose)
Detamol Extra    (Webrose)
Detox    (Remington)
Detoxicol    (Nabiqasim)
Detriflow    (Mission)
Detrusitol    (Pfizer)
Dettol    (Reckitt)
Deucef    (Searle)
Devenda    (Genetics)
Devenda    (Danas)
Devicobol    (Davis)
Devimoh    (Don Valley)
Devinate    (Polyfine)
Devom    (Siza)
Devomet    (Rakaposhi)
Devomycin    (Don Valley)
Devoquine    (Don Valley)
Dewart Dispersible    (Hoover)
Dewcal    (Jinnah)
Dewcam    (Fynk)
Dewfer    (Panacea)
Dewfer-F    (Panacea)
Dewis       (Wise)
Deworm    (Merck)
Dewpan    (Bloom)
Dewrel Dispersible    (English)
Dex-Neo    (Zanctok)
Dexa N    (Swiss Pharma)
Dexachlor    (Ethical)
Dexacor    (Valor)
Dexacort    (Progressive Lab)
Dexact    (Zanctok)
Dexadrin    (Star)
Dexadron    (Epoch)
Dexadron T    (Epoch)
Dexaflox    (Mbl)
Dexafort    (Cirin)
Dexal    (Ipram)
Dexamed    (Munawar)
Dexamedron    (Geofman)
Dexamek    (Kpl)
Dexamethasone    (Mendoza)
Dexamethasone    (Munawar)
Dexamethasone    (Unexo)
Dexamethasone    (Venus)
Dexamethasone    (Geofman)
Dexamethasone    (Dosaco)
Dexamethasone    (Ibl)
Dexamethasone    (Elko)
Dexamethasone    (Lawrence)
Dexamethasone    (Shifa)
Dexamethasone    (Ardin)
Dexamethasone    (Lisko)
Dexamethasone    (Amros)
Dexamethasone    (Orient)
Dexamethorphan    (Pacific)
Dexamex    (Bosch)
Dexamin-N    (Geofman)
Dexamol    (Umersons)
Dexaphan    (Umersons)
Dexaroid    (Medicaids)
Dexatex    (Syntex)
Dexatob    (Sante)
Dexcip    (Remington)
Dexef    (Spadix)
Dexer    (Jaens)
Dexib    (Tabros)
Dexibu    (Opal)
Dexidon    (Helicon)
Dexifen    (Ici)
Dexime    (Spadix)
Deximox    (Barrett)
Dexin    (Qintar)
Dexiplex-F    (Combat)
Dexito    (S.J.& G)
Dexodine    (Macter)
Dexodix    (Neo)
Dexoflox    (Sante)
Dexone    (Pharmawise)
Dexonil    (Global)
Dexoptic    (Sante)
Dexoptic-C    (Sante)
Dexpime    (Spadix)
Dexsul    (Jaens)
Dextagesic    (Eros)
Dextromethorphan    (Ethical)
Dextromethorphan    (Neutro)
Dextrophan    (Masfa Industries)
Dextrose    (Zafa)
Dextrose    (Atlantic)
Dextrose 10%    (Lcpw)
Dextrose 10%    (Elko)
Dextrose 10%+0.45% Nacl    (Elko)
Dextrose 10%+0.9% Nacl    (Elko)
Dextrose 10%+0.9% Nacl    (Geofman)
Dextrose 3.3%+0.3% Nacl    (Geofman)
Dextrose 3.3%+0.3% Nacl    (Elko)
Dextrose 4.3%+0.18% Nacl    (Elko)
Dextrose 4.3%+0.18% Nacl    (Otsuka)
Dextrose 4.3%+0.9% Nacl    (Elko)
Dextrose 4.3%+0.9% Nacl    (Lcpw)
Dextrose 5%    (Elko)
Dextrose 5%    (Lcpw)
Dextrose 5% + Nacl 0.45 %    (Atlantic)
Dextrose 5%+0.3% Nacl    (Otsuka)
Dextrose 5%+0.45% Nacl    (Otsuka)
Dextrose 5%+0.45% Nacl    (Elko)
Dextrose 5%+0.45% Nacl    (Geofman)
Dextrose 5%+0.45% Nacl    (Usmanco)
Dextrose 5%+0.9 % Nacl    (Lcpw)
Dextrose 5%+0.9% Nacl    (Usmanco)
Dextrose 5%+0.9% Nacl    (Elko)
Dextrose 5%+Nacl 0.9 %    (Atlantic)
Dextrose With Normal Sline    (Marion)
Dexyken    (Kanel Pharma)
Deyeast    (Nenza)
Dezini    (Zephyr)
Dfenac    (Marion)
Dfinep    (Alliance)
Dfovir    (English)
Dhanuk    (Nimrall)
Dhloramine    (Kohs)
Di Card    (Valor)
Di Osecta    (Woodward)
Di-Hyden    (French)
Di-Iodohydroxyquinoline    (Unexo)
Di-Iodohydroxyquinoline    (Krka-Pak)
Di-Iodohydroxyquinolone    (Lisko)
Di-Mether    (Fedro)
Di-Pot    (Cherwel)
Di-Urate    (Csh)
Di-Zone    (Wnsfeild)
Diab-Tus    (Zafa)
Diabescot Xr    (Scotmann)
Diabeta    (Siza)
Diabetone    (Acti-Med)
Diabetron    (Ferozson)
Diabimin    (Geofman)
Diabin    (Pharmedic)
Diabinese    (Pfizer)
Diabinil    (Lowitt)
Diabo    (Davis)
Diabold    (Barrett)
Diacare    (Care Pharma)
Diacord    (Opal)
Diacron    (Kpl)
Diactal    (Reko)
Diacto    (Ccl)
Diadynam-G    (Swiss Pharma)
Diaform    (Pakheim)
Diagen    (Rogen)
Diagesic    (Wilsons)
Diagesic Plus    (Wilsons)
Diagesic-P    (Wilsons)
Diaglic    (Epla)
Diaglide    (Polyfine)
Diagliet 3H    (Hamaz)
Diaglim    (Askari)
Diagyl    (Swiss Pharma)
Dialex    (Pulse)
Dialon    (Olive Labs)
Diamac    (Mac & Rans)
Diamet    (Nabiqasim)
Diamicron    (Servier)
Diamicron-Mr    (Servier)
Diamide    (Epla)
